timestamp,hour,temperature,humidity,occupancy,ventilation_on,appliance_load_kw,co2_ppm,comfort_index,smart_score,carbon_savings_kg,recommendation
2024-01-01 00:00:00,0,15.5,51.94,1,0,0.32,458.9,73.0,82.95,5.3911999999999995,No action needed
2024-01-01 01:00:00,1,15.03,50.0,0,0,-0.25,390.0,72.1,87.4,5.9156,No action needed
2024-01-01 02:00:00,2,16.32,52.62,1,0,0.18,386.7,76.0,85.83,5.5200000000000005,No action needed
2024-01-01 03:00:00,3,17.99,58.23,4,0,0.67,474.3,79.8,82.49,5.0692,No action needed
2024-01-01 04:00:00,4,17.27,58.53,1,0,-0.48,356.6,76.8,90.8,6.1272,No action needed
2024-01-01 05:00:00,5,18.47,58.75,1,0,0.35,415.6,81.5,85.95,5.3636,No action needed
2024-01-01 06:00:00,6,21.58,62.03,1,0,-0.36,350.0,92.3,94.77,6.0168,Run only essential appliances
2024-01-01 07:00:00,7,22.06,60.03,0,0,0.19,401.3,94.7,91.16,5.5108,Run only essential appliances
2024-01-01 08:00:00,8,22.03,58.77,4,0,1.33,513.8,95.5,82.33,4.462,No action needed
2024-01-01 09:00:00,9,24.08,58.63,4,1,1.68,396.5,87.4,79.4,4.140000000000001,No action needed
2024-01-01 10:00:00,10,23.87,54.25,5,1,1.62,409.7,90.4,80.49,4.1952,No action needed
2024-01-01 11:00:00,11,24.36,55.73,4,1,2.67,395.5,87.7,73.1,3.2292,Reduce appliance usage
2024-01-01 12:00:00,12,25.24,48.42,6,1,1.6,398.2,86.2,79.53,4.2136000000000005,No action needed
2024-01-01 13:00:00,13,22.92,48.73,3,1,1.05,350.0,95.7,86.66,4.7196,No action needed
2024-01-01 14:00:00,14,22.61,47.87,0,0,-0.36,363.5,96.5,95.83,6.0168,Run only essential appliances
2024-01-01 15:00:00,15,22.97,40.17,2,0,1.07,458.5,91.2,83.56,4.7012,No action needed
2024-01-01 16:00:00,16,21.49,40.65,5,1,1.53,429.7,93.3,81.64,4.278,No action needed
2024-01-01 17:00:00,17,21.61,42.63,1,0,-0.63,460.0,94.8,95.62,6.2652,Run only essential appliances
2024-01-01 18:00:00,18,19.09,42.31,2,0,1.64,401.3,84.5,78.72,4.1768,No action needed
2024-01-01 19:00:00,19,17.29,40.0,7,0,3.47,576.3,76.2,61.76,2.4932,Reduce appliance usage
2024-01-01 20:00:00,20,18.97,39.87,2,0,1.42,401.9,82.8,79.62,4.3792,No action needed
2024-01-01 21:00:00,21,16.24,44.84,2,0,2.32,452.8,74.4,70.51,3.5512,No action needed
2024-01-01 22:00:00,22,15.74,47.37,1,0,1.04,437.5,73.6,78.79,4.7288,No action needed
2024-01-01 23:00:00,23,13.75,45.08,0,0,-0.16,379.8,64.5,84.69,5.8328,No action needed
2024-01-02 00:00:00,0,14.46,47.59,0,0,-0.2,424.3,68.6,85.51,5.8696,No action needed
2024-01-02 01:00:00,1,15.28,53.04,2,0,1.05,374.4,71.6,79.07,4.7196,No action needed
2024-01-02 02:00:00,2,14.52,56.26,1,0,0.13,390.2,67.0,83.41,5.566,No action needed
2024-01-02 03:00:00,3,16.84,56.47,0,0,0.37,376.6,76.1,84.79,5.3452,No action needed
2024-01-02 04:00:00,4,16.9,60.02,2,0,0.75,459.8,74.6,80.63,4.9956,No action needed
2024-01-02 05:00:00,5,18.41,58.24,0,0,-0.63,418.9,81.5,92.24,6.2652,No action needed
2024-01-02 06:00:00,6,19.4,55.77,1,0,1.35,426.6,86.7,80.87,4.4436,Run only essential appliances
2024-01-02 07:00:00,7,23.15,58.81,2,0,1.09,446.3,91.0,83.55,4.6828,No action needed
2024-01-02 08:00:00,8,22.49,58.79,2,0,0.07,478.3,93.6,90.45,5.6212,No action needed
2024-01-02 09:00:00,9,22.48,56.52,5,1,0.92,389.0,94.8,86.65,4.8392,No action needed
2024-01-02 10:00:00,10,25.15,52.68,2,0,1.15,426.7,86.1,81.99,4.627599999999999,No action needed
2024-01-02 11:00:00,11,23.61,48.96,3,1,1.3,355.4,93.0,84.15,4.4896,No action needed
2024-01-02 12:00:00,12,25.21,48.97,1,0,0.58,390.4,86.6,86.37,5.152,Run only essential appliances
2024-01-02 13:00:00,13,22.87,49.21,4,1,0.66,398.6,96.1,88.58,5.0784,No action needed
2024-01-02 14:00:00,14,23.0,47.51,0,0,-0.36,363.1,94.8,95.32,6.0168,Run only essential appliances
2024-01-02 15:00:00,15,23.73,45.3,1,0,0.9,414.7,90.7,85.16,4.8576,Run only essential appliances
2024-01-02 16:00:00,16,23.24,39.71,6,1,2.04,447.3,89.9,77.06,3.8087999999999997,No action needed
2024-01-02 17:00:00,17,21.47,38.03,3,1,0.48,352.3,91.9,89.18,5.244,No action needed
2024-01-02 18:00:00,18,19.88,40.99,4,0,3.34,448.6,87.0,67.75,2.6128,Reduce appliance usage
2024-01-02 19:00:00,19,18.4,41.61,5,0,3.95,510.1,81.4,61.2,2.0515999999999996,Reduce appliance usage
2024-01-02 20:00:00,20,16.02,42.14,8,0,3.61,581.8,72.2,59.57,2.3644,Reduce appliance usage
2024-01-02 21:00:00,21,15.74,38.9,1,0,1.41,434.1,69.4,75.18,4.3884,No action needed
2024-01-02 22:00:00,22,15.21,43.27,1,0,2.5,435.5,69.5,68.14,3.3855999999999997,No action needed
2024-01-02 23:00:00,23,16.23,47.35,2,0,1.37,418.9,75.6,77.53,4.4252,No action needed
2024-01-03 00:00:00,0,15.34,50.97,1,0,1.06,485.8,72.9,77.72,4.7104,No action needed
2024-01-03 01:00:00,1,13.41,54.12,1,0,0.46,451.0,63.6,79.34,5.2624,No action needed
2024-01-03 02:00:00,2,15.99,55.29,0,0,-0.29,379.8,73.3,88.17,5.9524,No action needed
2024-01-03 03:00:00,3,16.08,57.73,1,0,0.71,426.7,72.5,80.75,5.0324,No action needed
2024-01-03 04:00:00,4,16.82,58.83,0,0,-0.2,406.6,74.9,87.67,5.8696,No action needed
2024-01-03 05:00:00,5,19.32,61.03,0,0,-0.23,404.9,83.8,90.56,5.897200000000001,No action needed
2024-01-03 06:00:00,6,21.03,60.63,0,0,0.05,413.0,90.8,90.72,5.6396,Run only essential appliances
2024-01-03 07:00:00,7,22.23,59.79,1,0,0.27,420.0,94.2,90.21,5.437200000000001,Run only essential appliances
2024-01-03 08:00:00,8,21.66,58.12,3,0,0.61,477.8,94.6,87.26,5.1244,No action needed
2024-01-03 09:00:00,9,23.23,57.23,4,1,0.63,406.2,91.5,87.28,5.106,No action needed
2024-01-03 10:00:00,10,24.66,55.97,6,1,1.66,432.1,86.4,78.69,4.158399999999999,No action needed
2024-01-03 11:00:00,11,25.81,53.12,1,0,-0.05,401.5,83.2,89.26,5.7316,Run only essential appliances
2024-01-03 12:00:00,12,24.52,50.76,7,1,1.39,475.2,89.5,80.73,4.4068000000000005,No action needed
2024-01-03 13:00:00,13,24.64,50.1,3,1,0.96,358.5,89.4,85.23,4.8024,No action needed
2024-01-03 14:00:00,14,23.22,45.53,4,1,1.27,386.2,92.9,83.86,4.517200000000001,No action needed
2024-01-03 15:00:00,15,22.34,41.63,6,1,2.15,407.6,94.5,78.32,3.7076,No action needed
2024-01-03 16:00:00,16,23.31,43.11,2,0,0.65,478.9,91.3,86.0,5.087599999999999,No action needed
2024-01-03 17:00:00,17,22.65,37.61,0,0,-0.05,382.7,91.2,91.94,5.7316,Run only essential appliances
2024-01-03 18:00:00,18,19.93,37.84,1,0,2.14,416.7,85.6,75.58,3.716799999999999,No action needed
2024-01-03 19:00:00,19,19.71,41.01,4,0,2.75,555.4,86.3,69.76,3.1555999999999997,Reduce appliance usage
2024-01-03 20:00:00,20,17.86,42.37,3,0,2.52,406.0,79.6,71.48,3.3672,Reduce appliance usage
2024-01-03 21:00:00,21,15.82,40.44,1,0,2.06,394.3,70.5,71.9,3.7903999999999995,No action needed
2024-01-03 22:00:00,22,16.03,44.23,1,0,1.49,452.6,73.2,75.53,4.3148,No action needed
2024-01-03 23:00:00,23,16.71,46.2,2,0,1.06,443.5,76.9,79.56,4.7104,No action needed
2024-01-04 00:00:00,0,14.96,49.03,0,0,-0.0,417.4,71.4,85.16,5.6856,No action needed
2024-01-04 01:00:00,1,16.74,54.48,1,0,0.23,380.5,76.7,85.81,5.473999999999999,No action needed
2024-01-04 02:00:00,2,13.05,56.41,1,0,0.75,414.3,61.0,77.23,4.9956,No action needed
2024-01-04 03:00:00,3,17.29,57.03,2,0,0.34,436.4,77.6,84.53,5.3728,No action needed
2024-01-04 04:00:00,4,17.59,57.57,0,0,-0.22,400.4,78.6,89.0,5.888,No action needed
2024-01-04 05:00:00,5,18.41,56.96,1,0,0.53,422.6,82.2,84.89,5.1979999999999995,No action needed
2024-01-04 06:00:00,6,20.09,62.84,1,0,0.39,356.4,85.9,87.9,5.3268,Run only essential appliances
2024-01-04 07:00:00,7,19.31,60.84,0,0,1.65,395.9,83.8,78.52,4.167599999999999,Run only essential appliances
2024-01-04 08:00:00,8,22.28,57.25,7,0,2.6,584.9,95.3,72.99,3.2935999999999996,Reduce appliance usage
2024-01-04 09:00:00,9,23.89,58.51,1,0,-0.9,411.8,88.2,96.11,6.5136,Run only essential appliances
2024-01-04 10:00:00,10,25.81,54.86,3,1,1.04,350.0,82.3,82.71,4.7288,No action needed
2024-01-04 11:00:00,11,24.31,52.01,1,0,-0.62,402.2,89.8,94.92,6.256,Run only essential appliances
2024-01-04 12:00:00,12,24.19,50.87,4,1,0.99,415.8,90.8,84.6,4.7748,No action needed
2024-01-04 13:00:00,13,24.33,45.93,4,1,1.29,350.0,88.6,82.98,4.4988,No action needed
2024-01-04 14:00:00,14,25.25,44.31,2,0,0.37,459.1,84.2,85.98,5.3452,No action needed
2024-01-04 15:00:00,15,23.86,43.17,6,1,0.7,431.3,89.1,85.73,5.0416,No action needed
2024-01-04 16:00:00,16,21.97,40.34,3,1,0.93,350.0,95.0,87.23,4.83,No action needed
2024-01-04 17:00:00,17,21.81,41.68,4,1,0.92,470.6,95.1,85.52,4.8392,No action needed
2024-01-04 18:00:00,18,20.1,43.74,2,0,2.42,468.5,89.3,74.1,3.4592,No action needed
2024-01-04 19:00:00,19,19.67,38.83,5,0,2.05,505.6,85.1,74.68,3.7996,No action needed
2024-01-04 20:00:00,20,16.8,38.01,3,0,2.04,495.2,73.2,71.33,3.8087999999999997,No action needed
2024-01-04 21:00:00,21,16.14,38.93,2,0,2.51,458.2,71.0,68.18,3.3764000000000003,Reduce appliance usage
2024-01-04 22:00:00,22,15.28,44.7,4,0,1.59,491.6,70.5,73.48,4.2228,No action needed
2024-01-04 23:00:00,23,13.71,46.09,3,0,1.14,466.0,64.9,75.1,4.6368,No action needed
2024-01-05 00:00:00,0,15.3,50.42,1,0,-0.09,404.2,73.0,86.42,5.7684,No action needed
2024-01-05 01:00:00,1,15.43,52.85,0,0,-0.12,431.5,72.3,85.99,5.796,No action needed
